conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,cleaned_text
1875552961109356755,Sat Jan 04 14:40:46 +0000 2025,0,Kagum banget liat dance nya fritz energi nya ada detail nya oke selalu menarik buat diliat. Sehari lalu baru upload cover gfriend padahal menyala terusss fritz yang mau punya KTP biru tahun ini @RFritzy_JKT48,1875552961109356755,,,in,,0,0,0,https://x.com/dinoconian/status/1875552961109356755,1255375143465111553,dinoconian,Kagum banget liat dance nya fritz energi nya ada detail nya oke selalu menarik buat diliat Sehari lalu baru upload cover gfriend padahal menyala terusss fritz yang mau punya KTP biru tahun ini
1875550451254575597,Sat Jan 04 14:40:45 +0000 2025,0,@Aralie_JKT48 MALAMM ARALIEE alhamdulilah lancar aman jaya hari ini kamu gimanaa? berjalan dengan lancar tidak? aku sempat santai aja nanti aku cek yaaa langit malam ini emang lagi keliatan jelas gara hujan tp kalo abis hujan mending tidur karna waktu sudah berkata lain gn aralieee,1875552954687877299,,Aralie_JKT48,in,herㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ,0,0,0,https://x.com/k3eenv/status/1875552954687877299,1680609854833192960,k3eenv,MALAMM ARALIEE alhamdulilah lancar aman jaya hari ini kamu gimanaa berjalan dengan lancar tidak aku sempat santai aja nanti aku cek yaaa langit malam ini emang lagi keliatan jelas gara hujan tp kalo abis hujan mending tidur karna waktu sudah berkata lain gn aralieee
1875550747942907987,Sat Jan 04 14:40:43 +0000 2025,0,@robbysputra @Levi_JKT48 pamer banget tadi dia wkwkw,1875552948237037656,,robbysputra,in,,0,0,0,https://x.com/FauzilAzim6/status/1875552948237037656,1172076045492572160,FauzilAzim6,pamer banget tadi dia wkwkw
1875552441338622265,Sat Jan 04 14:40:39 +0000 2025,0,@Levi_JKT48 ditunggu uploadnyaa,1875552929035514188,,Levi_JKT48,in,"East Java, Indonesia",0,0,0,https://x.com/reexin25/status/1875552929035514188,1676971361804374017,reexin25,ditunggu uploadnyaa
1875110008075239692,Sat Jan 04 14:40:37 +0000 2025,0,@JTrisha_JKT48 Baru mau minta yang otomatis ,1875552920915333562,,JTrisha_JKT48,in,Jakarta 12940,0,0,0,https://x.com/Alfi1967/status/1875552920915333562,379678899,Alfi1967,Baru mau minta yang otomatis
1875534619430547581,Sat Jan 04 14:40:35 +0000 2025,0,@Levi_JKT48 @AR_LanaJKT48 @CErine_JKT48 Kalo mau req harus paket lengkap dulu,1875552912438616237,,Levi_JKT48,in,"Kota Bogor, Jawa Barat",0,0,0,https://x.com/mhmddafi_/status/1875552912438616237,1537176473999536128,mhmddafi_,Kalo mau req harus paket lengkap dulu
1875550451254575597,Sat Jan 04 14:40:34 +0000 2025,0,@Aralie_JKT48 malam bigail so far so good alhamdulilah lancar semua hbs reply ini langsung otw liat tiktoknya polusi di langitnya menghilang krn hjn kah? sdh malam bigail jgn trll dipaksakan tenaganya walau msh kuat take a rest ya ,1875552911071310076,,Aralie_JKT48,in,,0,0,0,https://x.com/fitsob/status/1875552911071310076,1074536264802562049,fitsob,malam bigail so far so good alhamdulilah lancar semua hbs reply ini langsung otw liat tiktoknya polusi di langitnya menghilang krn hjn kah sdh malam bigail jgn trll dipaksakan tenaganya walau msh kuat take a rest ya
1875550451254575597,Sat Jan 04 14:40:34 +0000 2025,0,@Aralie_JKT48 Malam baby Lumayan lancar sih hari ini ak liburan sebelum Senin nanti ke sklh lagi cmn tadi pagi ad yang bapa² kecelakaan tahu by kasian banget untung udh ad ambulance tadi datang setelah itu ak tadi main di pantai sama di Timezone ini baru sampe rumah Good night bby,1875552909896855837,,Aralie_JKT48,in,"Bengkulu, Indonesia",0,0,0,https://x.com/Nandohardinata/status/1875552909896855837,1761063236894629888,Nandohardinata,Malam baby Lumayan lancar sih hari ini ak liburan sebelum Senin nanti ke sklh lagi cmn tadi pagi ad yang bapa² kecelakaan tahu by kasian banget untung udh ad ambulance tadi datang setelah itu ak tadi main di pantai sama di Timezone ini baru sampe rumah Good night bby
1875552441338622265,Sat Jan 04 14:40:31 +0000 2025,1,@Levi_JKT48 ditunggu upload nya,1875552897410461717,,Levi_JKT48,in,Dalem Kulkas Lagi Rebahan,0,0,0,https://x.com/fajarag70/status/1875552897410461717,808465005209210881,fajarag70,ditunggu upload nya
1875550451254575597,Sat Jan 04 14:40:28 +0000 2025,0,@Aralie_JKT48 hari ini baik aja kok...tapi pas pulang kegiatan tadi kehujanan jadi agak gaenak badan SIAP OTW BUKA TIKTOK GN ARALIEEE,1875552885003665850,,Aralie_JKT48,in,,0,0,0,https://x.com/AbigailKil72787/status/1875552885003665850,1804704295402790912,AbigailKil72787,hari ini baik aja koktapi pas pulang kegiatan tadi kehujanan jadi agak gaenak badan SIAP OTW BUKA TIKTOK GN ARALIEEE
